Province/State,Country/Region,Last Update (UTC),Confirmed,Deaths,Recovered
Hubei,Mainland China,02/04/2020 01:23,13522,414,396
Zhejiang,Mainland China,02/04/2020 01:43,829,0,48
Guangdong,Mainland China,02/04/2020 01:43,797,0,21
Henan,Mainland China,02/04/2020 01:23,675,2,20
Hunan,Mainland China,02/04/2020 01:43,593,0,22
Anhui,Mainland China,02/04/2020 00:43,480,0,14
Jiangxi,Mainland China,02/04/2020 01:43,476,0,19
Chongqing,Mainland China,02/03/2020 23:43,337,2,9
Jiangsu,Mainland China,02/04/2020 01:03,308,0,8
Sichuan,Mainland China,02/04/2020 01:43,282,1,14
Shandong,Mainland China,02/04/2020 00:53,270,0,7
Beijing,Mainland China,02/03/2020 09:23,212,1,12
Shanghai,Mainland China,02/04/2020 00:13,208,1,10
Fujian,Mainland China,02/03/2020 11:33,179,0,1
Heilongjiang,Mainland China,02/04/2020 00:53,155,2,2
Shaanxi,Mainland China,02/04/2020 02:33,142,0,1
Guangxi,Mainland China,02/04/2020 00:33,139,0,7
Hebei,Mainland China,02/04/2020 00:23,126,1,3
Yunnan,Mainland China,02/03/2020 23:23,117,0,5
Hainan,Mainland China,02/04/2020 00:43,79,1,4
Liaoning,Mainland China,02/03/2020 17:11,74,0,1
Shanxi,Mainland China,02/03/2020 23:13,74,0,2
Tianjin,Mainland China,02/03/2020 13:53,60,0,1
Guizhou,Mainland China,02/04/2020 01:03,56,0,2
Gansu,Mainland China,02/03/2020 23:03,55,0,3
Jilin,Mainland China,02/04/2020 00:23,42,0,1
Inner Mongolia,Mainland China,02/03/2020 03:03,34,0,1
Ningxia,Mainland China,02/04/2020 02:13,34,0,1
Xinjiang,Mainland China,02/04/2020 01:33,29,0,0
,Japan,02/01/2020 18:53,20,0,1
,Thailand,1/31/20 10:37,19,0,5
,Singapore,02/02/2020 01:03,18,0,0
Hong Kong,Hong Kong,02/02/2020 23:53,15,0,0
Qinghai,Mainland China,02/04/2020 01:33,15,0,0
,South Korea,02/02/2020 02:23,15,0,0
,Germany,02/03/2020 20:53,12,0,0
Taiwan,Taiwan,1/31/20 15:20,10,0,0
Macau,Macau,02/02/2020 04:23,8,0,0
,Malaysia,1/31/20 8:15,8,0,0
,Vietnam,02/03/2020 21:43,8,0,1
,France,02/01/2020 01:52,6,0,0
,United Arab Emirates,02/02/2020 05:43,5,0,0
New South Wales,Australia,02/01/2020 18:12,4,0,2
Victoria,Australia,02/01/2020 18:12,4,0,0
,India,02/03/2020 21:43,3,0,0
Queensland,Australia,02/02/2020 22:33,2,0,0
South Australia,Australia,02/02/2020 22:33,2,0,0
"Toronto, ON",Canada,02/04/2020 00:13,2,0,0
,Italy,1/31/20 8:15,2,0,0
,Philippines,02/02/2020 03:33,2,1,0
,Russia,1/31/20 16:13,2,0,0
,UK,02/01/2020 01:52,2,0,0
"Chicago, IL",US,02/01/2020 19:43,2,0,0
"San Benito, CA",US,02/03/2020 03:53,2,0,0
"Santa Clara, CA",US,02/03/2020 00:43,2,0,0
,Cambodia,1/31/20 8:15,1,0,0
British Columbia,Canada,02/01/2020 18:12,1,0,0
"London, ON",Canada,02/04/2020 00:03,1,0,0
,Finland,1/31/20 8:15,1,0,0
Tibet,Mainland China,02/01/2020 01:52,1,0,0
,Nepal,1/31/20 8:15,1,0,0
,Spain,02/01/2020 23:43,1,0,0
,Sri Lanka,1/31/20 8:15,1,0,0
,Sweden,02/01/2020 02:13,1,0,0
"Boston, MA",US,02/01/2020 19:43,1,0,0
"Los Angeles, CA",US,02/01/2020 19:53,1,0,0
"Orange, CA",US,02/01/2020 19:53,1,0,0
"Seattle, WA",US,02/01/2020 19:43,1,0,0
"Tempe, AZ",US,02/01/2020 19:43,1,0,0
